I, II, III, aVR, aVL, aVF, V1, V2, V3, V4, V5, V6, 
-34, -131, -97, 82, 31, -114, -43, -48, -78, -73, -48, -48, 
-24, -136, -112, 80, 43, -124, -34, -43, -78, -73, -43, -43, 
-24, -136, -112, 80, 43, -124, -24, -48, -78, -78, -53, -48, 
-29, -141, -112, 85, 41, -126, -19, -48, -82, -78, -63, -53, 
-34, -146, -112, 90, 39, -129, -19, -39, -82, -78, -63, -53, 
-24, -151, -126, 87, 51, -139, -29, -48, -87, -87, -63, -53, 
-29, -156, -126, 92, 48, -141, -34, -53, -92, -97, -68, -63, 
-34, -161, -126, 97, 46, -143, -39, -53, -92, -97, -68, -63, 
-34, -156, -122, 95, 43, -139, -39, -48, -92, -92, -73, -63, 
-29, -146, -117, 87, 43, -131, -43, -48, -87, -97, -73, -68, 
-24, -141, -117, 82, 46, -129, -48, -53, -92, -102, -73, -63, 
-29, -146, -117, 87, 43, -131, -48, -53, -92, -97, -68, -63, 
-34, -151, -117, 92, 41, -134, -34, -43, -92, -92, -63, -58, 
-29, -151, -122, 90, 46, -136, -19, -43, -87, -87, -58, -53, 
-24, -156, -131, 90, 53, -143, -19, -43, -82, -87, -58, -48, 
-24, -156, -131, 90, 53, -143, -29, -39, -82, -87, -58, -48, 
-29, -151, -122, 90, 46, -136, -24, -39, -82, -92, -58, -53, 
-24, -151, -126, 87, 51, -139, -19, -39, -82, -92, -68, -58, 
-24, -151, -126, 87, 51, -139, -19, -39, -78, -87, -68, -63, 
-29, -146, -117, 87, 43, -131, -24, -34, -73, -87, -63, -58, 
-29, -141, -112, 85, 41, -126, -19, -34, -73, -87, -63, -53, 
-29, -141, -112, 85, 41, -126, -24, -39, -82, -87, -63, -58, 
-24, -141, -117, 82, 46, -129, -29, -34, -78, -87, -63, -58, 
-34, -146, -112, 90, 39, -129, -29, -29, -68, -82, -63, -53, 
-43, -146, -102, 95, 29, -124, -19, -24, -68, -78, -58, -53, 
-39, -146, -107, 92, 34, -126, -9, -24, -73, -78, -58, -48, 
-29, -146, -117, 87, 43, -131, -9, -24, -78, -87, -53, -43, 
-34, -146, -112, 90, 39, -129, -19, -24, -78, -87, -53, -48, 
-34, -146, -112, 90, 39, -129, -19, -19, -78, -78, -53, -48, 
-34, -146, -112, 90, 39, -129, -9, -19, -73, -73, -48, -43, 
-34, -146, -112, 90, 39, -129, 0, -24, -68, -78, -48, -48, 
-24, -146, -122, 85, 48, -134, 4, -24, -68, -73, -53, -48, 
-24, -146, -122, 85, 48, -134, 4, -24, -63, -73, -58, -53, 
-34, -146, -112, 90, 39, -129, 4, -24, -58, -78, -63, -53, 
-34, -141, -107, 87, 36, -124, 0, -24, -63, -78, -58, -63, 
-34, -141, -107, 87, 36, -124, 0, -19, -68, -73, -63, -63, 
-34, -146, -112, 90, 39, -129, -4, -19, -68, -78, -63, -63, 
-29, -141, -112, 85, 41, -126, -9, -34, -73, -78, -68, -58, 
-24, -146, -122, 85, 48, -134, -4, -34, -73, -78, -68, -58, 
-24, -146, -122, 85, 48, -134, -4, -24, -68, -78, -68, -63, 
-24, -146, -122, 85, 48, -134, -4, -19, -58, -73, -58, -58, 
-34, -151, -117, 92, 41, -134, -4, -9, -53, -63, -53, -53, 
-24, -156, -131, 90, 53, -143, 4, 19, -39, -48, -53, -48, 
-19, -161, -141, 90, 61, -151, 19, 43, -19, -34, -53, -48, 
-19, -161, -141, 90, 61, -151, 43, 68, 14, -9, -43, -43, 
-19, -156, -136, 87, 58, -146, 68, 112, 68, 19, -29, -39, 
-9, -146, -136, 78, 63, -141, 78, 161, 122, 58, -9, -29, 
0, -126, -126, 63, 63, -126, 82, 190, 165, 107, 19, -4, 
19, -97, -117, 39, 68, -107, 92, 229, 204, 175, 73, 34, 
39, -63, -102, 12, 70, -82, 92, 278, 263, 273, 151, 82, 
58, -34, -92, -12, 75, -63, 87, 302, 326, 395, 234, 146, 
78, -19, -97, -29, 87, -58, 87, 273, 361, 497, 317, 204, 
102, -4, -107, -48, 104, -56, 73, 214, 380, 610, 409, 268, 
122, 24, -97, -73, 109, -36, 58, 170, 439, 771, 522, 336, 
136, 82, -53, -109, 95, 14, 53, 122, 512, 956, 653, 424, 
156, 156, 0, -156, 78, 78, 34, 24, 536, 1102, 785, 507, 
165, 214, 48, -190, 58, 131, 4, -112, 502, 1156, 868, 566, 
